source_section,anchor_text,destination,purpose
Testimonials module,tree removal results,/services/tree-removal,reinforce E-E-A-T for that service
About overview,our services,/services,category discoverability
tree removal page,free estimate,/contact,conversion
tree removal page,service areas,/service-areas,local relevance
Testimonials module,stump grinding results,/services/stump-grinding,reinforce E-E-A-T for that service
stump grinding page,free estimate,/contact,conversion
stump grinding page,service areas,/service-areas,local relevance
Testimonials module,limb reductions results,/services/limb-reductions,reinforce E-E-A-T for that service
limb reductions page,free estimate,/contact,conversion
limb reductions page,service areas,/service-areas,local relevance
Testimonials module,lawn maintenance results,/services/lawn-maintenance,reinforce E-E-A-T for that service
lawn maintenance page,free estimate,/contact,conversion
lawn maintenance page,service areas,/service-areas,local relevance
Testimonials module,junk removal results,/services/junk-removal,reinforce E-E-A-T for that service
junk removal page,free estimate,/contact,conversion
junk removal page,service areas,/service-areas,local relevance
Testimonials module,concrete work results,/services/concrete-work,reinforce E-E-A-T for that service
concrete work page,free estimate,/contact,conversion
concrete work page,service areas,/service-areas,local relevance
Testimonials module,paver driveways results,/services/paver-driveways,reinforce E-E-A-T for that service
paver driveways page,free estimate,/contact,conversion
paver driveways page,service areas,/service-areas,local relevance
Testimonials module,gravel driveways results,/services/gravel-driveways,reinforce E-E-A-T for that service
gravel driveways page,free estimate,/contact,conversion
gravel driveways page,service areas,/service-areas,local relevance
Testimonials module,land clearing results,/services/land-clearing,reinforce E-E-A-T for that service
land clearing page,free estimate,/contact,conversion
land clearing page,service areas,/service-areas,local relevance
Testimonials module,grading results,/services/grading,reinforce E-E-A-T for that service
grading page,free estimate,/contact,conversion
grading page,service areas,/service-areas,local relevance
